Line,Movie,Character,Dialogue,Joy,Sadness,Disgust,Fear,Anger,Surprise,Calmness,Confusion,Anxiety,Lust
32,SW_EpisodeV,HAN,You probably don't.,0,6,0,0,0,0,10,0,0,4
33,SW_EpisodeV,LEIA,And what precisely am I supposed to know?,0,0,3,0,3,0,9,10,0,3
34,SW_EpisodeV,HAN,Come on! You want me to stay because of the way you feel about me.,0,0,0,0,3,4,8,0,3,10
35,SW_EpisodeV,LEIA,Yes. You're a great help to us. You're a natural leader...,0,0,0,0,0,0,10,0,0,2
36,SW_EpisodeV,HAN,No! That's not it. Come on. Aahhh -- uh huh! Come on.,0,4,0,0,6,5,4,8,3,8
37,SW_EpisodeV,LEIA,You're imagining things.,0,0,8,0,2,0,10,0,0,0
38,SW_EpisodeV,HAN,Am I? Then why are you following me? Afraid I was going to leave without giving you a goodbye kiss?,0,0,0,0,4,7,5,8,2,10
39,SW_EpisodeV,LEIA,I'd just as soon kiss a Wookiee.,0,0,10,0,3,0,9,0,0,0
40,SW_EpisodeV,HAN,I can arrange that. You could use a good kiss!,6,0,0,0,2,0,9,0,0,10
41,SW_EpisodeV,THREEPIO,Don't try to blame me. I didn't ask you to turn on the thermal heater. I merely commented that it was freezing in the princess's chamber. But it's supposed to be freezing. How are we going to dry out all her clothes? I really don't know.,0,0,0,7,0,0,8,8,6,0
42,SW_EpisodeV,THREEPIO,"Oh, switch off.",0,0,8,0,5,0,6,0,3,0
43,SW_EpisodeV,HAN,Why do you take this apart now? I'm trying to get us out of here and you pull both of these.,0,0,4,0,8,5,3,8,5,0
44,SW_EpisodeV,THREEPIO,"Excuse me, sir.",0,0,5,0,4,7,3,0,5,0
45,SW_EpisodeV,HAN,Put them back together right now.,0,0,4,0,10,0,4,0,2,0
46,SW_EpisodeV,THREEPIO,"Might I have a word with you, please?",0,4,0,0,0,0,8,0,5,0
47,SW_EpisodeV,HAN,What do you want?,0,0,6,0,9,0,3,6,0,0
48,SW_EpisodeV,THREEPIO,"Well, it's Princess Leia, sir. She's been trying to get you on the communicator.",0,0,0,3,0,0,9,0,8,0
49,SW_EpisodeV,HAN,I turned it off. I don't want to talk to her.,0,5,8,0,4,0,6,0,0,0
50,SW_EpisodeV,THREEPIO,"Oh. Well, Princess Leia is wondering about Master Luke. He hasn't come back yet. She doesn't know where he is.",0,0,0,0,0,4,10,3,3,0
51,SW_EpisodeV,HAN,I don't know where he is.,0,3,5,0,8,0,7,4,0,0
52,SW_EpisodeV,THREEPIO,Nobody knows where he is.,0,9,0,4,0,2,8,4,3,0
53,SW_EpisodeV,HAN,"What do you mean, \nobody knows\?",0,0,3,3,4,7,4,9,4,0
54,SW_EpisodeV,THREEPIO,"Well, uh, you see...",0,0,0,8,0,4,0,5,8,0
55,SW_EpisodeV,HAN,Deck Officer. Deck Officer!,0,0,0,3,0,8,2,4,6,0
56,SW_EpisodeV,THREEPIO,"Excuse me, sir. Might I inqu-...",0,0,0,4,0,3,0,6,10,0
57,SW_EpisodeV,DECK OFFICER,"Yes, sir?",0,0,3,0,0,0,9,0,0,0
58,SW_EpisodeV,HAN,Do you know where Commander Skywalker is?,0,0,0,0,0,0,8,9,4,0
59,SW_EpisodeV,DECK OFFICER,I haven't seen him. It's possible he came in through the south entrance.,0,0,0,0,0,0,10,0,0,0
60,SW_EpisodeV,HAN,It's possible? Why don't you go find out? It's getting dark out there.,0,0,4,0,7,4,6,6,9,0
61,SW_EpisodeV,DECK OFFICER,"Yes, sir.",0,0,2,0,1,0,9,0,0,0
62,SW_EpisodeV,THREEPIO,"Excuse me, sir. Might I inquire what's going on?",0,0,0,0,0,0,8,9,4,0
63,SW_EpisodeV,HAN,Why not?,0,0,3,0,5,0,7,6,0,0
64,SW_EpisodeV,THREEPIO,"Impossible man. Come along, Artoo, lets find Princess Leia. Between ourselves, I think Master Luke is in considerable danger.",0,0,3,1,8,0,6,0,6,0
65,SW_EpisodeV,DECK OFFICER,"Sir, Commander Skywalker hasn't come in through the south entrance. He might have forgotten to check in.",0,0,0,0,0,2,8,3,5,0
66,SW_EpisodeV,HAN,Not likely. Are the speeders ready?,0,0,0,0,2,0,9,4,5,0
67,SW_EpisodeV,DECK OFFICER,Not yet. We're having some trouble adapting them to the cold.,0,0,0,0,0,0,9,0,3,0
68,SW_EpisodeV,HAN,Then we'll have to go out on Tauntauns.,0,0,4,0,3,2,9,0,0,0
69,SW_EpisodeV,DECK OFFICER,"Sir, the temperature's dropping too rapidly.",0,0,0,3,0,7,7,8,5,0
70,SW_EpisodeV,HAN,That's right. And my friends out in it.,0,0,3,0,2,0,7,0,3,0
71,SW_EpisodeV,ASSISTANT OFFICER,I'll cover sector twelve. Have com-control set screen alpha.,0,0,0,0,0,0,10,0,2,0
72,SW_EpisodeV,DECK OFFICER,Your Tauntaun'll freeze before you reach the first marker.,0,0,0,0,0,3,7,3,5,0
73,SW_EpisodeV,HAN,Then I'll see you in hell!,0,0,5,0,9,0,7,0,0,0
74,SW_EpisodeV,THREEPIO,"You must come along now, Artoo. There's really nothing more we can do. And my joints are freezing up.",0,4,0,0,0,0,8,0,7,0
75,SW_EpisodeV,THREEPIO,"Don't say thing like that! Of course we'll see Master Luke again. He'll be quite all right, you'll see. Stupid little short-circuit. He'll be quite all right.",0,3,5,0,7,8,5,0,9,0
76,SW_EpisodeV,LIEUTENANT,"Sir, all the patrols are in. There's still no contact from Skywalker or Solo.",0,0,0,0,0,0,9,0,4,0
77,SW_EpisodeV,THREEPIO,"Mistress Leia, Artoo says he's been quite unable to pick up any signals, although he does admit that his own range is far too weak to abandon all hope.",0,3,0,0,0,0,7,0,6,0
78,SW_EpisodeV,DERLIN,"Your Highness, there's nothing more we can do tonight. The shield doors must be closed.",0,0,0,0,0,0,7,0,6,0
79,SW_EpisodeV,DERLIN,Close the doors.,0,3,0,0,1,0,10,0,0,0
80,SW_EpisodeV,LIEUTENANT,"Yes, sir.",0,0,0,0,0,0,10,0,3,0
81,SW_EpisodeV,THREEPIO,Artoo says the chances of survival are seven hundred seventy-five...to one.,0,3,0,4,0,7,4,0,8,0
82,SW_EpisodeV,THREEPIO,"Actually, Artoo has been known to make mistakes...from time to time. Oh, dear, oh, dear. Don't worry about Master Luke. I'm sure he'll be all right. He's quite clever, you know...for a human being.",0,3,0,9,0,5,2,4,8,0
83,SW_EpisodeV,BEN,Luke...Luke.,0,0,0,0,0,4,7,8,0,0
84,SW_EpisodeV,LUKE,Ben?,0,0,0,2,0,9,4,7,0,0
85,SW_EpisodeV,BEN,You will go to the Dagobah system.,0,0,0,0,0,0,10,0,0,0
86,SW_EpisodeV,LUKE,Dagobah system?,0,0,0,3,0,7,3,10,0,0
87,SW_EpisodeV,BEN,"There you will learn from Yoda, the Jedi Master who instructed me.",0,0,0,0,0,0,10,0,0,0
88,SW_EpisodeV,LUKE,Ben...Ben.,0,6,0,0,0,5,5,8,3,0
89,SW_EpisodeV,HAN,"Luke! Luke! Don't do this, Luke. Come on, give me a sign here.",0,6,0,5,0,0,1,2,8,0
90,SW_EpisodeV,HAN,Not much time.,0,4,0,2,0,0,4,0,9,0
91,SW_EpisodeV,LUKE,Ben...Ben...,0,5,0,0,0,4,7,6,0,0
92,SW_EpisodeV,HAN,"Hang on, kid.",0,3,0,0,0,0,7,0,6,0
93,SW_EpisodeV,LUKE,Dagobah system...,0,0,0,0,0,3,4,9,3,0
94,SW_EpisodeV,HAN,Whew...,7,0,0,0,0,8,4,0,0,0
95,SW_EpisodeV,LUKE,Dagobah...,0,0,0,0,0,5,5,9,0,0
96,SW_EpisodeV,HAN,"This may smell bad, kid...",0,0,4,0,0,1,7,0,2,0
97,SW_EpisodeV,LUKE,Yoda...,0,0,0,0,0,3,5,8,0,0
98,SW_EpisodeV,HAN,...but it will keep you warm...til I get the shelter built.  Ooh...I thought they smelled bad on the outside!,5,0,8,0,0,7,5,0,0,0
99,SW_EpisodeV,ZEV,"Echo Base...I've got something! Not much, but it could be a life form.",5,0,0,0,0,8,5,0,3,0
100,SW_EpisodeV,ZEV,"This is Rouge Two. this is Rouge Two. Captain Solo, so you copy? Commander Skywalker, do you copy? This is Rouge Two.",0,0,0,2,0,2,1,4,8,0
101,SW_EpisodeV,HAN,Good morning. Nice of you guys to drop by.,8,0,0,0,2,2,6,0,0,0
102,SW_EpisodeV,ZEV,"Echo Base...this is Rouge Two. I found them. Repeat, I found them.",5,0,0,0,0,6,5,0,0,0
103,SW_EpisodeV,THREEPIO,"Master Luke, sir, it's good to see you fully functional again.",8,0,0,0,0,6,4,0,0,0
104,SW_EpisodeV,THREEPIO,"Artoo expresses his relief, also.",8,0,0,0,0,4,6,0,0,0
105,SW_EpisodeV,HAN,"How are you feeling, kid? You don't look so bad to me. In fact, you look strong enough to pull the ears off a Gundark.",9,0,0,0,0,2,5,3,0,0
106,SW_EpisodeV,LUKE,Thanks to you.,8,0,0,0,0,6,3,0,0,0
107,SW_EpisodeV,HAN,"That's two you owe me, junior.",9,0,0,0,0,0,7,0,0,0
108,SW_EpisodeV,HAN,"Well your Worship, looks like you managed to keep me around for a little while longer.",7,0,0,0,0,3,5,0,0,8
109,SW_EpisodeV,LEIA,I had nothing to do with it. General Rieekan thinks it's dangerous for any ships to leave the system until we've activated the energy shield.,0,0,6,0,2,4,4,0,0,0
110,SW_EpisodeV,HAN,That's a good story. I think you just can't bear to let a gorgeous guy like me out of your sight.,6,0,0,0,0,2,4,0,0,10
111,SW_EpisodeV,LEIA,"I don't know where you get you delusions, laser brain.",3,0,5,0,0,8,4,5,0,4
112,SW_EpisodeV,HAN,"Laugh it up, fuzz ball. But you didn't see us alone in the south passage.",4,0,0,0,5,3,8,0,0,0
113,SW_EpisodeV,HAN,She expressed her true feelings for me.,0,0,0,0,0,2,6,0,1,8
114,SW_EpisodeV,LEIA,"My...! Why, you stuck up,...half-witted,...scruffy-looking... nerf-herder!",2,0,8,0,6,6,0,4,0,2
115,SW_EpisodeV,HAN,"Who's scruffy-looking? I must have hit her pretty close to the mark to get her all riled up like that, huh, kid?",5,0,0,0,0,5,8,0,0,6
116,SW_EpisodeV,LEIA,"Why, I guess you don't know everything about women yet?",0,0,6,0,5,8,4,3,0,2
117,SW_EpisodeV,ANNOUNCER,"Headquarters personnel, report to command center.",0,0,0,0,0,0,10,0,0,0
118,SW_EpisodeV,HAN,Take it easy.,3,0,0,0,0,2,9,0,0,0
119,SW_EpisodeV,THREEPIO,"Excuse us, please.",0,0,0,0,0,0,9,0,4,0
120,SW_EpisodeV,RIEEKAN,Princess...we have a visitor.,0,0,3,2,0,9,5,6,3,0
121,SW_EpisodeV,RIEEKAN,"We've picked up something outside the base in zone twelve, moving east.",0,0,0,3,0,4,5,9,2,0
122,SW_EpisodeV,SENIOR CONTROLLER,It's metal.,0,0,0,0,0,0,10,0,4,0
123,SW_EpisodeV,LEIA,Then it couldn't be one of those creatures that attacked Luke.,0,0,0,2,0,7,5,9,6,0
124,SW_EpisodeV,HAN,"It could be a speeder, one of ours.",0,0,0,0,0,0,9,6,3,0
125,SW_EpisodeV,SENIOR CONTROLLER,No. Wait -- there's something very weak coming through.,0,0,0,0,0,6,8,7,3,0
126,SW_EpisodeV,THREEPIO,"Sir, I am fluent in six million forms of communication. This signal is not used by the Alliance. It could be an Imperial code.",0,0,0,0,0,7,3,6,8,0
127,SW_EpisodeV,HAN,"It isn't friendly, whatever it is. Come on, Chewie, let's check it out.",0,0,0,2,0,3,8,0,7,0
128,SW_EpisodeV,RIEEKAN,Send Rouges Ten and Eleven to station three-eight.,0,0,0,0,0,0,10,0,2,0
129,SW_EpisodeV,HAN,Afraid there's not much left.,0,2,0,0,0,5,8,0,4,0
130,SW_EpisodeV,LEIA,What was it?,0,0,0,3,0,8,4,8,4,0
131,SW_EpisodeV,HAN,Droid of some kind. I didn't hit it that hard. It must have had a self-destruct.,0,0,0,0,0,3,8,4,0,0
132,SW_EpisodeV,LEIA,An Imperial probe droid.,0,0,4,2,0,0,7,4,5,0
133,SW_EpisodeV,HAN,It's a good bet the Empire knows we're here.,0,0,0,0,1,2,8,0,5,0
134,SW_EpisodeV,RIEEKAN,We'd better start the evacuation.,0,0,0,2,0,4,7,3,5,0
135,SW_EpisodeV,PIETT,Admiral.,0,0,0,0,0,2,9,0,4,0
136,SW_EpisodeV,OZZEL,"Yes, Captain",0,0,0,0,0,0,9,4,2,0
137,SW_EpisodeV,PIETT,"I think we've got something, sir. The report is only a fragment had.",0,0,0,0,0,5,7,3,0,0
138,SW_EpisodeV,OZZEL,"We have thousands of probe droids searching the galaxy. I want proof, not leads!",0,0,3,0,6,0,5,0,0,0
139,SW_EpisodeV,PIETT,The visuals indicate life readings.,0,0,0,0,0,6,8,0,0,0
140,SW_EpisodeV,OZZEL,It could mean anything. If we followed every lead...,0,0,4,0,6,0,8,0,0,0
141,SW_EpisodeV,PIETT,"But, sir, the Hoth system is supposed to be devoid of human forms.",0,0,0,0,0,4,8,4,6,0
142,SW_EpisodeV,VADER,You found something?,0,0,3,0,0,5,8,0,0,0
143,SW_EpisodeV,PIETT,"Yes, my lord.",0,0,0,5,0,0,7,0,6,0
144,SW_EpisodeV,VADER,That's it. The Rebels are there.,0,0,8,0,5,0,7,0,0,0
145,SW_EpisodeV,OZZEL,"My lord, there are so many uncharted settlements. It could be smugglers, it could be...",0,0,0,3,0,6,5,8,8,0
146,SW_EpisodeV,VADER,"That is the system. And I'm sure Skywalker is with them. Set your course for the Hoth system. General Veers, prepare you men.",0,0,4,0,5,0,9,0,0,0
147,SW_EpisodeV,REBEL CAPTAIN,"Groups seven and ten will stay behind to fly the speeders. As soon as each transport is loaded, evacuation control will give clearance for immediate launch.",0,0,0,0,0,0,10,0,2,0
148,SW_EpisodeV,REBEL FIGHTER,"Right, sir.",0,0,0,2,0,0,9,0,2,0
149,SW_EpisodeV,HAN,"Okay, that's it. Try it...Off! Turn it off! Turn it off! Off!",0,0,0,3,4,9,2,0,4,0
150,SW_EpisodeV,MEDICAL DROID,"Sir, it will take quite awhile to evacuate the T-forty- sevens.",0,0,0,0,0,0,9,3,6,0
151,SW_EpisodeV,LUKE,"Well, forget the heavy equipment. There's plenty of time to get the smaller modules on the transports.",0,0,4,0,5,0,9,0,6,0
152,SW_EpisodeV,MEDICAL DROID,"Take care, sir.",0,0,0,4,0,0,10,0,0,0
153,SW_EpisodeV,LUKE,Thanks.,0,0,0,0,0,0,10,0,2,0
154,SW_EpisodeV,LUKE,"Chewie, take care of yourself, okay?",0,4,0,0,0,0,9,0,6,0
155,SW_EpisodeV,HAN,"Hi, kid. There's got to be a reason for it. Check it at the other end. Wait a second. You all right?",0,0,0,0,0,3,8,9,5,0
156,SW_EpisodeV,LUKE,Yeah.,0,0,0,0,0,0,9,5,0,0
157,SW_EpisodeV,HAN,Be careful.,0,2,0,0,0,0,9,0,6,0
158,SW_EpisodeV,LUKE,"You, too.",0,0,0,0,0,0,9,0,4,0
159,SW_EpisodeV,CONTROLLER,"General, there's a fleet of Star Destroyers coming out of hyperspace in sector four.",0,0,0,3,0,5,8,0,8,0
160,SW_EpisodeV,RIEEKAN,Reroute all power to the energy shield. We've got to hold them till all transports are away. Prepare for ground assault.,0,0,0,4,0,2,8,0,7,0
161,SW_EpisodeV,VADER,"What is it, General?",0,0,0,0,0,4,9,7,0,0
162,SW_EpisodeV,VEERS,"My lord, the fleet has moves out of light-speed. Com-Scan has detected an energy field protecting an area around the sixth planet of the Hoth system. The field is strong enough to deflect any bombardment.",0,0,0,4,0,7,5,0,4,0
163,SW_EpisodeV,VADER,The Rebels are alerted to our presence. Admiral Ozzel came out of light-speed too close to the system.,0,0,8,0,5,0,9,0,0,0
164,SW_EpisodeV,VEERS,He felt surprise was wiser...,0,0,0,7,0,0,4,0,5,0
165,SW_EpisodeV,VADER,"He is as clumsy as he is stupid. General, prepare your troops for a surface attack.",0,0,6,0,8,0,7,0,0,0
166,SW_EpisodeV,VEERS,"Yes, my lord.",0,0,0,4,0,0,8,0,3,0
167,SW_EpisodeV,OZZEL,"Lord Vader, the fleet has moved out of light-speed, and we're preparing to...Aaagh!",0,0,0,3,0,10,3,0,6,0
168,SW_EpisodeV,VADER,"You have failed me for the last time, Admiral. Captain Piett.",0,0,5,0,9,0,8,0,0,0
169,SW_EpisodeV,PIETT,"Yes, my lord.",0,0,0,2,0,4,8,0,3,0
170,SW_EpisodeV,VADER,"Make ready to land out troops beyond the energy shield and deploy the fleet so that nothing gets off that system. You are in command now, Admiral Piett.",0,0,3,0,0,0,9,0,0,0
171,SW_EpisodeV,PIETT,"Thank you, Lord Vader.",3,0,0,1,0,0,7,0,5,0
172,SW_EpisodeV,LEIA,"All troop carriers will assemble at the north entrance. The heavy transport ships will leave as soon as they're loaded. Only two fighter escorts per ship. The energy shield can only be opened for a short time, so you'll have to stay very close to your transports.",0,0,0,2,0,0,9,0,4,0
173,SW_EpisodeV,HOBBIE,Two fighters against a Star Destroyer?,0,0,0,5,0,9,4,8,5,0
174,SW_EpisodeV,LEIA,"The ion cannon will fire several shots to make sure that any enemy ships will be out of your flight path. When you've gotten past the energy shield, proceed directly to the rendezvous point. Understood?",0,0,0,2,0,0,9,0,4,0
175,SW_EpisodeV,PILOTS,Right. Okay.,0,0,0,3,0,4,8,0,9,0
176,SW_EpisodeV,LEIA,Good luck.,0,0,0,0,0,0,10,0,6,0
177,SW_EpisodeV,DERLIN,Okay. Everyone to your stations. Let's go!,0,0,0,2,0,0,8,0,6,0
178,SW_EpisodeV,RIEEKAN,Their primary target will be the power generators. Prepare to open the shield.,0,0,0,0,0,0,10,0,5,0
179,SW_EpisodeV,CONTROLLER,"Sir, Rebel ships are coming into our sector.",0,0,0,2,0,0,9,0,6,0
180,SW_EpisodeV,CAPTAIN,Good. Our first catch of the day.,0,0,3,0,4,0,9,0,0,0
181,SW_EpisodeV,WOMAN CONTROLLER,"Stand by, ion control....Fire!",0,0,0,0,6,0,8,0,0,0
182,SW_EpisodeV,ANNOUNCER,The first transport is away.,0,0,0,0,0,0,10,0,3,0
183,SW_EpisodeV,DACK,"Feeling all right, sir?",0,0,2,0,0,4,8,9,5,0
184,SW_EpisodeV,LUKE,"Just like new, Dack. How about you?",4,0,0,0,0,0,10,2,0,0
185,SW_EpisodeV,DACK,Right now I feel I could take on the whole Empire myself.,4,0,0,0,0,4,8,0,0,0
186,SW_EpisodeV,LUKE,I know what you mean.,4,0,0,0,0,0,10,0,0,0
187,SW_EpisodeV,TRENCH OFFICER,Echo Station Three-T-Eight.,0,0,0,0,0,0,10,0,0,0
188,SW_EpisodeV,TRENCH OFFICER,We have spotted Imperial walkers!,0,0,0,2,0,8,6,0,3,0
189,SW_EpisodeV,CONTROLLER,Imperial walkers on the north ridge.,0,0,0,0,0,3,9,0,5,0
190,SW_EpisodeV,LUKE,Echo station Five-Seven. We're on our way.,0,0,0,0,0,0,10,0,0,0
191,SW_EpisodeV,LUKE,"All right, boys, keep tight now.",0,0,0,0,0,0,10,0,3,0
192,SW_EpisodeV,DACK,"Luke, I have no approach vector. I'm not set.",0,0,0,6,0,4,6,0,8,0
193,SW_EpisodeV,LUKE,"Steady, Dack. Attack pattern delta. Go now!",0,0,0,3,0,5,7,0,8,0
194,SW_EpisodeV,LUKE,"All right, I'm coming in.",0,0,0,0,0,0,9,0,4,0
195,SW_EpisodeV,LUKE,"Hobbie, you still with me?",0,2,0,2,0,0,9,6,5,0
196,SW_EpisodeV,LUKE,That armor's too strong for blasters.,0,0,0,3,0,5,7,0,8,0
197,SW_EpisodeV,LUKE,"Rouge Group, use your harpoons and tow cables. Go for the legs. It might be our only chance of stopping them. All right, stand by, Dack.",0,0,0,4,0,6,7,0,8,0
198,SW_EpisodeV,DACK,"Luke, we've got a malfunction in fire control. I'll have to cut in the auxiliary.",0,0,0,4,0,6,5,0,9,0
199,SW_EpisodeV,LUKE,"Just hang on. Hang on, Dack. Get ready to fire that tow cable.",0,0,0,5,0,7,5,0,8,0
200,SW_EpisodeV,LUKE,Dack? Dack!,0,0,0,7,0,9,4,7,5,0
201,SW_EpisodeV,VEERS,"Yes, Lord Vader. I've reached the main power generator. The shield will be down in moments. You may start your landing.",4,0,0,0,0,0,9,0,2,0
202,SW_EpisodeV,LUKE,Rouge Three.,0,0,0,0,0,0,9,0,4,0
203,SW_EpisodeV,WEDGE,"Copy, Rouge Leader",0,0,0,0,0,0,10,0,0,0
204,SW_EpisodeV,LUKE,"Wedge, I've lost my gunner. You'll have to make this shot. I'll cover for you. Set your harpoon. Follow me on the next pass.",0,0,0,3,0,3,8,0,7,0
205,SW_EpisodeV,WEDGE,"Coming around, Rouge Leader.",0,0,0,0,0,0,10,0,0,0
206,SW_EpisodeV,LUKE,"Steady, Rouge Two",0,0,0,0,0,0,8,0,7,0
207,SW_EpisodeV,WEDGE,Activate harpoon.,0,0,0,0,0,0,10,0,3,0
208,SW_EpisodeV,WEDGE,"Good shot, Janson.",8,0,0,0,0,6,7,0,2,0
209,SW_EpisodeV,WEDGE,One more pass.,0,0,0,0,0,0,10,0,4,0
210,SW_EpisodeV,JANSON,Coming around. Once more.,0,0,0,0,0,0,10,0,4,0
211,SW_EpisodeV,JANSON,One more.,0,0,0,0,0,0,10,0,4,0
212,SW_EpisodeV,JANSON,Cable out! Let her go!,0,0,0,0,0,5,7,0,8,0
213,SW_EpisodeV,WEDGE,Detach cable.,0,0,0,0,0,0,10,0,4,0
214,SW_EpisodeV,JANSON,Cable detached.,0,0,0,0,0,0,10,0,0,0
215,SW_EpisodeV,TRENCH OFFICER,Come on!,0,0,0,4,2,7,3,0,8,0
216,SW_EpisodeV,WEDGE,Whooha!! That got him!,10,0,0,0,0,9,1,0,0,0
217,SW_EpisodeV,LUKE,"I see it, Wedge. Good work.",8,0,0,0,0,2,7,0,0,0
218,SW_EpisodeV,RIEEKAN,I don't think we can protect two transports at a time.,0,0,0,3,0,0,9,0,10,0
219,SW_EpisodeV,LEIA,"It's risky, but we can't hold out much longer. We have no choice.",0,0,0,3,0,0,7,0,9,0
220,SW_EpisodeV,RIEEKAN,Launch patrols.,0,0,0,0,0,0,10,0,3,0
221,SW_EpisodeV,LEIA,Evacuate remaining ground staff.,0,0,0,0,0,0,9,0,4,0
222,SW_EpisodeV,HAN,"No, no! No! This one goes there, that one goes there. right?",0,0,4,2,7,5,3,8,3,0
223,SW_EpisodeV,THREEPIO,"Artoo, you take good care of Master Luke now, understand? And...do take care of yourself. Oh, dear, oh, dear.",0,5,0,3,0,4,5,0,9,0
224,SW_EpisodeV,VEERS,All troops will debark for ground assault. Prepare to target the main generator.,0,0,0,0,0,0,10,0,2,0
225,SW_EpisodeV,LUKE,"Rouge Two, are you all right?",0,0,0,4,0,0,7,8,6,0
226,SW_EpisodeV,ZEV,"Yeah. I'm with you, Rouge Leader.",0,0,0,0,0,0,10,0,0,0
227,SW_EpisodeV,LUKE,We'll set harpoon. I'll cover for you.,0,0,0,0,0,0,10,0,3,0
228,SW_EpisodeV,ZEV,Coming around.,0,0,0,0,0,0,10,0,0,0
229,SW_EpisodeV,LUKE,"Watch that cross fire, boys.",0,0,0,4,0,5,7,0,8,0
230,SW_EpisodeV,ZEV,Set for position three. Steady.,0,0,0,0,0,0,10,0,2,0
231,SW_EpisodeV,LUKE,Stay tight and low.,0,0,0,0,0,0,9,0,5,0
232,SW_EpisodeV,LUKE,"Hobbie, I've been hit!",0,0,0,8,0,6,0,0,2,0
233,SW_EpisodeV,HAN,You all right?,0,0,0,5,0,6,7,0,8,0
234,SW_EpisodeV,LEIA,Why are you still here?,0,0,5,0,7,0,6,0,0,0
235,SW_EpisodeV,HAN,I heard the command center had been hit.,0,0,0,0,2,0,7,0,5,3
236,SW_EpisodeV,LEIA,You got your clearance to leave.,0,0,8,0,4,0,10,0,0,0
237,SW_EpisodeV,HAN,Don't worry. I'll leave. First I'm going to get you to your ship.,0,0,0,0,0,0,8,0,3,5
238,SW_EpisodeV,THREEPIO,"Your Highness, we must take this last transport. It's our only hope.",0,0,0,6,0,7,5,0,9,0
239,SW_EpisodeV,LEIA,Send all troops in sector twelve to the south slope to protect the fighters.,0,0,0,0,0,0,9,0,3,0
240,SW_EpisodeV,ANNOUNCER,Imperial troops have entered the base.,0,0,0,5,0,7,5,0,4,0
