line,movie,character,dialogue
171,The Return of the King,MOUTH OF SAURON,Is there any in this rout with authority to treat with me?
172,The Return of the King,GANDALF,"We do not come to treat with Sauron, faithless and accursed.    Tell your master this.  The armies of Mordor must disband.  He is to depart these lands, never to return."
173,The Return of the King,EOWYN,Courage Merry. Courage for our friends.
174,The Return of the King,GOTHMOG,"Form ranks you maggots. Form ranks. Pikes in front, archers behind."
175,The Return of the King,THEODEN,"Eomer, take your Eored down the left flank"
176,The Return of the King,EOMER,Flank ready!
177,The Return of the King,THEODEN,"Gamling, follow the King's banner down the centre. Grimbold! Take your company right after you pass the wall. Forth and fear no darkness!     , Arise! Arise riders of Theoden. Spears shall be shaken, shields shall be splintered, a sword day, a red day ere the sun rises!!"
178,The Return of the King,EOWYN,"Whatever happens, stay with me. I'll look after you."
179,The Return of the King,THEODEN,"Ride now, ride now! Ride! Ride for ruin and the world's ending! DEATH!"
180,The Return of the King,ARMY,DEATH!
181,The Return of the King,THEODEN,DEATH!
182,The Return of the King,ARMY,DEATH!
183,The Return of the King,THEODEN,DEATH!
184,The Return of the King,THEODEN,DEATH!
185,The Return of the King,MOUTH OF SAURON,Aha!  Old Greybeard!  I have a token I was bidden to show thee.
186,The Return of the King,PIPPIN,Frodo!
187,The Return of the King,PIPPIN,Frodo!
188,The Return of the King,GANDALF,Silence!
189,The Return of the King,MERRY,No!
190,The Return of the King,GANDALF,Silence!
191,The Return of the King,MOUTH OF SAURON,"The Halfling was dear to thee I see.  Know that he suffered greatly at the hands of his host.  Who would've thought one so small could endure so much pain?  And he did Gandalf, he did."
192,The Return of the King,ARAGORN,You may go no further.
193,The Return of the King,ARAGORN,You will not enter Gondor
194,The Return of the King,BOSON,Who are you to deny us passage?
195,The Return of the King,ARAGORN,"Legolas, fire a warning shot past the boson's ear."
196,The Return of the King,GIMLI,Mind your aim.
197,The Return of the King,GIMLI,"Oh! , That's     it, right, we warned you! Prepare to be boarded!"
198,The Return of the King,MERCENARY,"Boarded, by you and whose army?"
199,The Return of the King,EOWYN/MERRY,DEATH!
200,The Return of the King,THEODEN,Forth Eorlingas!
201,The Return of the King,GOTHMOG,FIRE!
202,The Return of the King,MERRY,DEEEEAAATH!
203,The Return of the King,THEODEN,CHAAAAARGE!
204,The Return of the King,GOTHMOG,Fire at will!
205,The Return of the King,DENETHOR,Set a fire in our flesh!
206,The Return of the King,GANDALF,Stay this madness!
207,The Return of the King,DENETHOR,"You may triumph in the field of battle for a day, but against the power that     has risen in the east, there is no victory!"
208,The Return of the King,DENETHOR,"NOOOOOO, you will not take my son from me!"
209,The Return of the King,PIPPIN,NO! Aaahhh
210,The Return of the King,DENETHOR,Faramir!
211,The Return of the King,DENETHOR,Aaaaaahhhh!
212,The Return of the King,GANDALF,"So passes Denethor, son of Ecthelion."
213,The Return of the King,MOUTH OF SAURON,And who is this?  Isildur's heir?  It takes more to make a King than a broken Elvish blade.
214,The Return of the King,GIMLI,I guess that concludes negotiations.
215,The Return of the King,ARAGORN,I do not believe it.  I will not.
216,The Return of the King,ARAGORN,This army.
217,The Return of the King,GOLLUM,In there.
218,The Return of the King,FRODO,What is this place?
219,The Return of the King,GOLLUM,Master must go inside the tunnel.
220,The Return of the King,FRODO,Now that I'm here I don't think I want to.
221,The Return of the King,GOLLUM,It's the only way. Go in' or go back.
222,The Return of the King,FRODO,I can't go back.
223,The Return of the King,FRODO,What's that smell.
224,The Return of the King,GOLLUM,Orcses' filth. Orcses come in here sometimes.
225,The Return of the King,GOLLUM,Hurry! This way.
226,The Return of the King,FRODO,Smeagol?
227,The Return of the King,GOLLUM,Over here.
228,The Return of the King,FRODO,"Ah aah! Its sticky, what is it?"
229,The Return of the King,GOLLUM,"You'll see. Oh yes, you     will see."
230,The Return of the King,EOMER,"Drive them to the river. ,"
231,The Return of the King,THEODEN,"Make safe the city.,"
232,The Return of the King,THEODEN,"Re-form the line!  Re-form the line!,"
233,The Return of the King,THEODEN,"Sound the charge.  Take them head-on. Chaaarge! ,"
234,The Return of the King,ROHIRRIM,"Cut him down! ,"
235,The Return of the King,EOWYN,"Take the reins, pull him left. ,  LEFT! ,"
236,The Return of the King,EOMER,"Aim for the heads! ,"
237,The Return of the King,THEODEN,"Bring it down! Bring it down!  Bring it down!,"
238,The Return of the King,EOWYN,"Merry! ,"
239,The Return of the King,FRODO,Smeagol? (shouts) SMEAGOL! SMEAGOL!
240,The Return of the King,FRODO,Sam.
241,The Return of the King,SAM,Ow!
242,The Return of the King,GALADRIEL VOICEOVER,"And you Frodo Baggins, I give you the light of E'rendil, our most beloved star. , May it be a light for you in dark places, when all other lights go out."
243,The Return of the King,FRODO,Aiya E'rendil Elenion Ancalim'
244,The Return of the King,GOLLUM,"Naughty little fly. Why does he cry? ,Caught in a web. Soon     you'll be eaten."
245,The Return of the King,GOLLUM,Got away did it precious? Not this time. Not this time.
246,The Return of the King,FRODO,NO!
247,The Return of the King,SMEAGOL,"It wasn't us. It wasn't us. ,Smeagol wouldn't hurt master. We promised. You must believe us. It was the precious. The precious made us do it."
248,The Return of the King,FRODO,"I have to destroy it Smeagol. , I have to destroy it for both our sakes."
249,The Return of the King,GOLLUM,"NO! , Aaaaaaaaa."
250,The Return of the King,FRODO,I'm so sorry Sam.     I'm so sorry.
251,The Return of the King,GIMLI,What kind of army would linger in such a place?
252,The Return of the King,LEGOLAS,"One that is cursed. Long ago the men of the mountains swore an oath to     the last King of Gondor , to come to his aid, to fight. But when     the time came, when Gondor's need was dire, they fled vanishing into the     darkness of the mountain. And so Isildur cursed them, never to rest until     they had fulfilled their pledge. Who shall call them from the grey twilight,     the forgotten people? The heir of him to whom the oath they swore. From the     North shall he come, need shall drive him. He shall pass the door to the     Paths of the Dead."
253,The Return of the King,GIMLI,The very warmth of my blood seems stolen away.
254,The Return of the King,LEGOLAS,"The way is shut. It was made by those who are dead , and the dead keep it. The     way is shut."
255,The Return of the King,ARAGORN,Brego!
256,The Return of the King,ARAGORN,I do not fear death!
257,The Return of the King,GALADRIEL,"This task was appointed to you, Frodo of the Shire. If you do not find a     way, no one will."
258,The Return of the King,EOMER,"The scouts report Minas Tirith is surrounded. The lower level's in flames. Everywhere, legions of the enemy advance."
259,The Return of the King,THEODEN,Time is against us. Make ready!
260,The Return of the King,EOWYN,"Take heart Merry. , It will soon be over"
261,The Return of the King,MERRY,"My lady. You are fair and brave and have much to live for    , and many who love you. I     know it is too late to turn aside. I know there is not much point now in     hoping. If I were a knight of Rohan capable of great deeds'but I'm not. I'm a Hobbit. And I know I can't save Middle Earth. I just want to help my friends; Frodo, Sam, Pippin. More than anything I wish I could see them again."
262,The Return of the King,EOMER,Prepare to move out!
263,The Return of the King,THEODEN,Make haste. We ride through the night.
264,The Return of the King,EOWYN,To battle
265,The Return of the King,MERRY,To battle
266,The Return of the King,GANDALF,Back to the gate! Hurry!
267,The Return of the King,GIMLI,"Well this is a thing unheard of. An elf will go underground, where a     dwarf dare not. Oh. Oh, I'd never hear the end of it."
268,The Return of the King,THEODEN,We must ride light and swift. It is a long road ahead and man and beast     must reach the end with the strength to fight.
269,The Return of the King,THEODEN,Little Hobbits do not belong in war Master Meriadoc.
270,The Return of the King,MERRY,All my friends have gone to battle. I would be ashamed to be left     behind.
271,The Return of the King,THEODEN,It is a three-day gallop to Minas Tirith and none of my riders can bear     you as a burdon.
272,The Return of the King,MERRY,I want to fight!
273,The Return of the King,THEODEN,I will say no more.
274,The Return of the King,EOWYN,Ride with me!
275,The Return of the King,MERRY,My lady!
276,The Return of the King,EOMER,"Form up, move out! Form up, move out!"
277,The Return of the King,THEODEN,Ride! Ride now to Gondor.
278,The Return of the King,GIMLI,What is it? What do you see?
279,The Return of the King,LEGOLAS,I see shapes of men and of horses.
280,The Return of the King,GIMLI,Where?
281,The Return of the King,LEGOLAS,"Pale banners like shreds of cloud. , Spears rise     like winter thickets through a shroud of mist. The dead are following. They     have been summoned."
282,The Return of the King,GIMLI,"The dead?     Summoned? I knew that! Huh. Huh. , Very good. Very good. , Legolas!"
283,The Return of the King,ARAGORN,Do not look down.
284,The Return of the King,KING OF THE DEAD,Who enters my domain?
285,The Return of the King,ARAGORN,One who will have your allegiance.
286,The Return of the King,KING OF THE DEAD,The dead do not suffer the living to pass.
287,The Return of the King,ARAGORN,You will suffer me!
288,The Return of the King,KING OF THE DEAD,The way is shut! It was made by those who are dead. And the dead keep     it. (The Ghostly army closes around them) The way is shut! Now you must die!
289,The Return of the King,ARAGORN,I summon you to     fulfil your oath!
290,The Return of the King,KING OF THE DEAD,None but the King of Gondor may command me!
291,The Return of the King,SOLDIER,"Make way for the King!  Make way, the King is here"
292,The Return of the King,SOLDIER,My lord!
293,The Return of the King,SOLDIER,Hail to you sire!
294,The Return of the King,GRIMBOLD,I bring 500 men from the Westfold my lord.
295,The Return of the King,SOLDIER,"We have 300 more from Fenmarch, Theoden King."
296,The Return of the King,KING OF THE DEAD,That blade was broken!
297,The Return of the King,ARAGORN,"It has been remade. ,     Fight for us and regain your honour. What say you? ,What say you?"
298,The Return of the King,GIMLI,Ach! You waste your time Aragorn. They had no honour in life and they     have none now in death.
299,The Return of the King,ARAGORN,"I am Isildur's heir. Fight for me and I will hold your oaths fulfilled.    ,What say you?"
300,The Return of the King,ARAGORN,"You have my word! Fight and I will release you from this living death!    , What say you?"
301,The Return of the King,GIMLI,Stand you traitors!
302,The Return of the King,ARAGORN,Out!
303,The Return of the King,ARAGORN,Legolas! Run!
304,The Return of the King,KING OF THE DEAD,We fight!
305,The Return of the King,SOLDIER,"Open the gate, quick!"
306,The Return of the King,IROLAS,Quick! Hurry!
307,The Return of the King,DENETHOR,Faramir! Say not that he has fallen.
308,The Return of the King,IROLAS,They were outnumbered! None survived.
309,The Return of the King,GOTHMOG,Fear. The city is rank with it! Ha ha ha ha. Let us ease their pain.     Release the prisoners!
310,The Return of the King,THEODEN,Where are the riders from Snowbourn?
311,The Return of the King,SOLDIER,None have come my lord.
312,The Return of the King,THEODEN,"Six thousand spears, less than half of what I had hoped for."
313,The Return of the King,ARAGORN,Six thousand will not be enough to break the lines of Mordor.
314,The Return of the King,THEODEN,More will come
315,The Return of the King,ARAGORN,"Every hour lost hastens Gondor's defeat.  ,  We have until dawn then we must ride."
316,The Return of the King,LEGOLAS,The horses are restless and the men are quiet.
317,The Return of the King,EOMER,They grow nervous in the shadow of the mountain.
318,The Return of the King,GIMLI,That road there where does that lead?
319,The Return of the King,LEGOLAS,"It is the road to the Dimholt, the door under the mountain."
320,The Return of the King,ORC,"Catapults! , ha ha ha."
321,The Return of the King,DENETHOR,"My sons are spent! ,     My line has ended!"
322,The Return of the King,PIPPIN,He's alive!
323,The Return of the King,DENETHOR,The     house of Stewards has failed.
324,The Return of the King,PIPPIN,He needs medicine my lord!
325,The Return of the King,DENETHOR,My line has ended!
326,The Return of the King,PIPPIN,My lord!
327,The Return of the King,DENETHOR,Rohan has deserted us!
328,The Return of the King,DENETHOR,"Theoden's betrayed me! ABANDON YOUR POSTS! ,FLEE! FLEE FOR YOUR LIVES!"
329,The Return of the King,GANDALF,Prepare for battle. Hurry men! To the wall! Defend the wall! Over here!     Return to your posts.
330,The Return of the King,GANDALF,Send these foul beasts into the Abyss.
331,The Return of the King,GOTHMOG,Stay where you are!
332,The Return of the King,SOLDIER,We need more rubble!
333,The Return of the King,EOMER,None who venture there ever return.  That mountain is evil.
334,The Return of the King,GIMLI,"Aragorn!  ,      Let's find some food."
335,The Return of the King,EOWYN,There.  A true esquire of Rohan.
336,The Return of the King,MERRY,"I'm ready!  , Sorry.  It isn't all that dangerous.  It's not     even sharp."
337,The Return of the King,EOWYN,"To the smithy, go!"
338,The Return of the King,EOMER,You should not encourage him.
339,The Return of the King,EOWYN,You should not doubt him.
340,The Return of the King,EOMER,"I do not doubt his heart, only the reach of his arm."
341,The Return of the King,EOWYN,Why should Merry be left behind?  He has as much cause to go to war as     you.  Why can he not fight for those he loves?
342,The Return of the King,EOMER,"You know as little of war as that Hobbit.   When the fear takes him    , and the blood and the     screams and the horror of battle take hold.  Do you think he would stand and     fight?  He would flee.  And he would be right to do so.     ,  War is the     province of men Eowyn."
343,The Return of the King,SOLDIER,Sir?  King Theoden awaits you my lord.
344,The Return of the King,SOLDIER,Watch out!
345,The Return of the King,SOLDIER,Down to the lower levels quick!
346,The Return of the King,SOLDIER,Double up men!
347,The Return of the King,GANDALF,"Hold them back, do not give in to fear. Stand to your posts. Fight!"
348,The Return of the King,GANDALF,"Not at the towers! Aim for the trolls, kill the trolls!"
349,The Return of the King,GANDALF,Bring them down!
350,The Return of the King,GANDALF,"Fight them back! ,Peregrin Took! Go back to the Citadel."
351,The Return of the King,PIPPIN,They called us out to fight.
352,The Return of the King,GANDALF,This is no place for a Hobbit!
353,The Return of the King,GANDALF,"Guard of the Citadel indeed! , Now back up the hill     quickly. Quick!"
354,The Return of the King,GOTHMOG,What are you doing you useless scum?
355,The Return of the King,ORC,The door wont give. It's too strong.
356,The Return of the King,THEODEN,I take my leave.
357,The Return of the King,ARAGORN,My lord Elrond
358,The Return of the King,ELROND,I come on behalf of one whom I love.  Arwen is dying.  She will not long     survive the evil that now spreads from Mordor.  The light of the evenstar is     failing.  As Sauron's power grows her strength wanes.  Arwen's life is now     tied to the fate of the Ring.  The Shadow is upon us Aragorn.  The end has     come.
359,The Return of the King,ARAGORN,"It will not be our end, but his."
360,The Return of the King,ELROND,"You ride to war     but not to victory.  Sauron's armies ride on Minas Tirith, this you know.      But in secret he sends another force, which will attack, from the river.    , A fleet of Corsair ships sails from the South.  They will be     in the city in two days.  You're outnumbered Aragorn.  You need more men."
361,The Return of the King,ARAGORN,There are none.
362,The Return of the King,ELROND,There are those that dwell in the mountain.
363,The Return of the King,ARAGORN,"Murderers, traitors. You would call upon them to fight?  They believe in     nothing.  They answer to no one"
364,The Return of the King,ELROND,"They will answer to the King of Gondor.  , And'ril, the Flame of the West, forged from the shards of     Narsil."
365,The Return of the King,ARAGORN,Sauron will not have forgotten the sword of Elendil.
366,The Return of the King,ARAGORN,The blade that was broken shall return to Minas Tirith.
367,The Return of the King,ELROND,The man who can wield the power of this sword can summon to him an army     more deadly than any that walks this earth.  Put aside the Ranger.  Become     who you were born to be 'nen i-Estel Edain.
368,The Return of the King,ARAGORN,'-chebin Estel anim.
369,The Return of the King,EOWYN,Why are you doing this?  The war lies to the East.  You cannot leave on     the eve of battle.  You cannot abandon the men.
